Country Name,Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),"Net errors and omissions (BoP, current US$)",Import volume index (2015 = 100),Export volume index (2015 = 100),Tuberculosis treatment success rate (% of new cases),"Employment in industry, female (% of female employment) (modeled ILO estimate)","Computer, communications and other services (% of commercial service exports)","Foreign direct investment, net inflows (% of GDP)","Current account balance (BoP, current US$)",Current account balance (% of GDP),Net secondary income (Net current transfers from abroad) (current US$),Net migration,"Personal remittances, received (% of GDP)",Merchandise trade (% of GDP),"Claims on central government, etc. (% GDP)","Merchandise imports by the reporting economy, residual (% of total merchandise imports)",Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),Energy intensity level of primary energy (MJ/$2017 PPP GDP),"Inflation, consumer prices (annual %)","Electricity production from renewable sources, excluding hydroelectric (% of total)","Compulsory education, duration (years)",Adjusted savings: net forest depletion (% of GNI),Out-of-pocket expenditure (% of current health expenditure),"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)","Services, value added (% of GDP)",Adjusted savings: natural resources depletion (% of GNI),Merchandise exports to high-income economies (% of total merchandise exports),Merchandise imports from high-income economies (% of total merchandise imports),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)","Mortality rate attributed to unintentional poisoning (per 100,000 population)",Rural population growth (annual %),"Mortality rate, under-5 (per 1,000 live births)","Mortality caused by road traffic injury (per 100,000 population)",Prevalence of anemia among women of reproductive age (% of women ages 15-49),Urban population (% of total population),Fertilizer consumption (kilograms per hectare of arable land),International migrant stock (% of population),"Immunization, measles (% of children ages 12-23 months)","Cause of death, by injury (% of total)",Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),Adjusted savings: consumption of fixed capital (% of GNI),"Suicide mortality rate (per 100,000 population)",Total greenhouse gas emissions excluding LULUCF (% change from 1990),Electricity production from nuclear sources (% of total),"Computer, communications and other services (% of commercial service imports)",Adjusted savings: education expenditure (% of GNI),Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Net primary income (Net income from abroad) (current US$),"Foreign direct investment, net (BoP, current US$)",Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100),Mineral rents (% of GDP),Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),Coal rents (% of GDP),Electricity production from coal sources (% of total),Electricity production from oil sources (% of total),GNI: linked series (current LCU),"Industry (including construction), value added (% of GDP)",Aquaculture production (metric tons),Total fisheries production (metric tons),"Population, total",Government Effectiveness: Number of Sources,"Imports of goods and services (BoP, current US$)",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100),"Personal remittances, received (current US$)",Electricity production from natural gas sources (% of total),"Reserves and related items (BoP, current US$)",Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),Merchandise imports from economies in the Arab World (% of total merchandise imports),Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),Merchandise exports to economies in the Arab World (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),"Services, value added (annual % growth)",GDP per capita growth (annual %),"Industry (including construction), value added (annual % growth)",Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),Livestock production index (2014-2016 = 100),Agricultural land (% of land area),Arable land (% of land area),Permanent cropland (% of land area),Population density (people per sq. km of land area),Arable land (hectares per person),"Population ages 25-29, female (% of female population)","Population ages 30-34, female (% of female population)","Death rate, crude (per 1,000 people)",Proportion of seats held by women in national parliaments (%),"Unemployment, female (% of female labor force) (modeled ILO estimate)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",Average precipitation in depth (mm per year),Forest area (% of land area),"Renewable internal freshwater resources, total (billion cubic meters)",Renewable internal freshwater resources per capita (cubic meters),Renewable electricity output (% of total electricity output),Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),"Agriculture, forestry, and fishing, value added (annual % growth)",Crop production index (2014-2016 = 100),GDP deflator (base year varies by country),"Employers, total (% of total employment) (modeled ILO estimate)","Inflation, GDP deflator (annual %)",Political Stability and Absence of Violence/Terrorism: Estimate,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",Current health expenditure (% of GDP),Population growth (annual %),Forest rents (% of GDP),Employment in industry (% of total employment) (modeled ILO estimate),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Official exchange rate (LCU per US$, period average)",Adjusted savings: energy depletion (% of GNI)
Afghanistan,0.0,-214820778.887867,70.4,49.5,86.0,18.1104765396538,81.18855853059289,1.2031179898113904,-577708206.772323,-3.6433138823462814,4418171522.368615,-167460.0,2.3851583684579163,34.950594953068645,-6.86373515568696,0.0,,0.4954834685708367,2.63,2.17853752389419,0.0183183733284484,9.0,0.292788387305452,78.9966507,100.0,100.0,48.879376909689135,0.3594540238480093,16.088597941597303,29.72794212013932,37.6,2.86,2.6610096978911693,88.3,14.4,34.9,23.737,1.7778596176055437,0.365657832373532,62.0,11.0309239785858,0.0,8.39723646063771,3.59,114.439243408483,0.0,19.492181517319267,2.83706669158337,4.034,10.546,29106508.468641814,-192022479.468454,46.65625,0.0,6.512,0.215322628919275,0.0,18.24713520994891,727564192900.0,21.151420697712823,2250.0,3250.0,28284089.0,7.0,5771312262.28346,20.0,378206657.0181,0.0,1016877189.1518,28.130267813353782,55.78113424504891,13.814301283903434,3.138993360826908,56.45775659595726,5.475500406705659,,18.355405421566573,11.055030552728766,6.27060133814976,16.321973058371306,3.042364565079911,98.06,58.13440044156203,11.94823911810251,0.1901169832727718,43.3652070588596,0.2755259326188656,6.74604202649785,5.67883992460914,8.402,27.710843373494,10.23,43.182,19.85569691252581,41.84,327.0,1.8527819940818424,47.15,1667.0149779262822,81.75286479005108,31.671261238582293,13.438772158580376,0.5072677658876363,-6.375134493649895,87.58,70.18816370523828,0.71460427300848,3.8146303154521055,-2.57915186882019,99.9746344313873,8.56967163,2.93468670173474,0.36453808043497,14.859119986692,0.012,46.4524610013175,0.0666656365425573
Albania,0.0,434570095.2323205,117.0,85.3,89.0,10.6760340031715,26.37618006693121,9.017449980498892,-1355598479.398264,-11.21576436832589,1222852028.7263012,-51907.0,13.126780127608798,49.2282921571006,27.242626775387635,0.0005847199434563,0.195474899426993,1.5148464292438275,2.78,3.62604695579816,0.0071353065539112,8.0,0.0666425167042147,59.96680832,100.0,96.8365990451871,41.31318459213185,0.7737077108413483,77.72594010766561,75.27259891147148,18.9,0.46,-2.743291493211703,13.3,14.1,19.9,52.163,85.02392971246005,1.8189568635262,99.0,6.14152050888872,0.0,12.6371282050003,6.77,-29.973636355726484,0.0,10.976118101842886,3.11299225246887,-2.16471,1.64196,-119469477.50402656,-1043511678.057718,70.0125,0.142023694482101,3.80667,0.0013721331562775,0.0,0.0132135306553911,1243818010200.0,27.47491428396009,2520.0,7652.2,2913021.0,8.0,5780725471.946597,60.0,1586574271.35641,0.0,250020160.7157482,6.907172138192254,0.016117722996925,0.9103504093808444,0.8109589598825004,10.186308461047116,1.881497065789828,0.0297542602119238,2.5763597589837417,3.4856480864462185,0.991721653215194,7.071652671327837,5.556318915609947,89.69,43.84306569343065,22.846715328467155,2.554744525547445,106.31463503649636,0.2148971806245131,6.876264397965,6.3172522911592,6.055,16.4285714285714,15.85,47.426,73.25408618127786,29.72,1485.0,28.54270072992701,26.9,9234.399614695532,99.99392177589851,14.540507907537956,15.366887754142144,0.4369826473535518,7.2549663984425905,82.74,91.61195893783628,1.56855101192687,4.127443891207989,-0.191482901573181,0.0,6.23667669,-0.49646196338738,0.0659767178336683,20.5927945952109,5.9,103.936666666667,0.636859916766847
Algeria,0.0,-1302585291.851929,65.3,114.9,89.0,24.8964589532868,62.94471505949195,1.2939046748781804,12220267767.30855,6.873619292803427,3251956756.42278,-10788.0,0.1105769487713023,54.8561298258352,-31.327731762717328,0.0196631618129813,4.624942393465189,6.264583094668858,4.49,3.91106195534028,-0.0024489438929461,10.0,0.0,28.88244247,100.0,100.0,43.602403257657855,16.208959580062462,82.1930681004542,70.47869851094387,15.2,0.64,-0.228730165718541,28.1,22.3,30.8,67.54,15.795787789922688,0.67977278044533,95.0,9.1759032898511,0.0,6.10078792727082,2.61,36.44200858257632,0.0,66.50129001786746,4.4671956,-8.148,-8.148,-82004697.040839,-2081136054.385946,51.8375,0.15354556834639,0.0,0.0,0.0,2.1078409935715223,13218616000000.0,45.24319463646705,1758.75,95222.75,36188236.0,7.0,50644656909.00461,40.0,196589288.017747,97.51169808020292,15207253412.42476,14.58089645233474,2.7612797268643834,1.9931102411114712,4.478419352452298,26.56541569591213,3.4641277761778677,0.2288081767686566,5.810770149257266,2.7792190819471188,3.5143860058071112,12.952922117160218,2.214743941039526,79.63,17.37133356285741,3.149798046806117,0.3816537489398507,15.194032933905463,0.2073049374387853,10.1806092935534,8.77106485803599,4.678,7.7120822622108,19.246,39.174,20.266509235051025,24.53,89.0,0.8052936088741844,11.247,310.7916064214901,0.378011982332619,4.365029363860118,4.751122214196984,0.7354725085312892,6.303473675506581,74.96,202.1684246925096,3.71030639910094,15.556918121837882,-1.25936758518219,22.7094420336726,4.64001417,1.9470588317966,0.137192681108823,30.3985762293825,0.44,74.3859833333333,16.1927720686715
Andorra,0.0,,115.9,89.3,86.0,,,,,,,-6194.0,0.0,,,,,,2.26,,11.26885536823425,10.0,,11.63836575,99.9566358235583,15.1565554804827,76.99121165426102,,,,,,-3.034173604620216,4.6,,12.3,88.819,,61.6602897451995,99.0,,0.0,,,,0.0,,3.01,0.14179,0.14179,,,22.45625,0.0,0.0,,0.0,0.0,,13.125646060615376,,,80706.0,1.0,,40.0,0.0,0.0,,,,,,,,,-0.7431076763023015,1.889880843122825,-12.86479591836735,,,,42.06382978723404,1.6382978723404256,,171.7148936170213,0.0095408024186553,7.50284537769991,9.31749299845263,6.266,35.7142857142857,,,,,,34.04255319148936,0.3156,3910.489926399525,100.0,,,,9.172661870503603,,100.0,,0.3743137581101194,1.27827215194702,0.0,7.67537737,-3.86696538756774,0.0,,10.78,,
Angola,0.0,239709966.069534,90.4,99.4,48.0,1.50124798665909,11.098767461176068,-3.8511114995358606,7505954235.08,8.957042175269649,-437692034.8374399,122418.0,0.021446479467216,80.2654202149643,-2.8891575810051635,0.0003378840554001,1.7491819327703058,6.479628375935567,2.65,14.4696564932577,-0.31950816663608,6.0,0.432163347015003,19.34375572,100.0,100.0,41.88702581693198,33.12014036467391,44.35250134277091,67.83566915888618,24.8,1.16,2.005833433275622,119.8,25.8,46.5,59.783,8.229285714285714,0.36074065005042,62.0,7.54860522335174,0.0,7.7160734914401,6.89,117.91170945522852,0.0,73.02087112032136,3.57,-2.0,40.189886,-8086861899.346417,4567640566.41,64.375,0.0,42.189886,0.0,0.0,32.04257661956322,6958422134600.01,52.36843757916322,310.0,310310.0,23294825.0,9.0,35421222361.08,40.0,17972037.0,3.303358414387961,5558086304.389288,52.3192417336685,9.805210937153094,3.032835519764572,3.4307242703982284,24.22979096768709,0.701687044994016,3.328256923560599,6.468280400211498,0.4543240063552503,-0.0920533055329997,12.741567496179329,40.76470019993706,84.72,35.97497393117831,3.3688938798427848,0.1884976337531082,18.685188898692548,0.1802975553583252,7.36924794801098,6.13107962934543,11.078,38.6363636363636,18.604,64.421,95.73490315229776,27.26,1010.0,57.87920109087993,148.0,6353.342426912414,67.6379152138007,0.7210895901247749,0.000148663808038,0.3134104126269404,8.694133438010638,86.14,591.5132965956875,3.09008406819568,32.27046912244123,-0.226182341575623,28.7776148226511,2.69509959,3.85109824897149,0.390458468314882,8.30410747552359,8.32,91.9057203405018,32.6879770176589
Antigua and Barbuda,0.24352923135,5213167.651333667,107.0,54.3,33.0,,5.0232339662453,7.218601147120161,-141181263.0571241,-10.87391415457348,-50370370.370370366,291.0,2.2277700973130514,42.13045636335629,13.262753270537493,0.0162725175087973,3.6934783734123697,8.905348151455403,4.78,3.37002540220148,0.0485348540920948,11.0,,24.68379784,100.0,100.0,73.65855189214786,,94.82209537968384,77.40880740057769,17.0,0.26,2.1440921566050526,11.9,5.4,18.1,26.238,3.0,30.2775325851455,98.0,6.80745779974433,0.0,10.6958069782635,0.0,40.84449857896875,0.0,55.776827127756434,2.25,-0.059843472953,0.191539685064,-67585185.18518518,-79059859.91488221,54.0,0.0,0.007853926667,0.0,0.0,99.9514651459079,3323060000.0,14.837942228586751,8.0,2227.0,85320.0,1.0,868682718.9303222,0.0,28924211.8034622,0.0,-23069045.42163724,1.4596436701090203,0.0194568806791339,0.2215863650643709,0.0704508878439344,13.66957193045812,0.0275197884049986,1.2675104015095993,-5.315216934772565,-9.079453610136795,-25.42374973766404,13.114895874374971,0.1159217027949767,105.53,20.454545454545457,9.090909090909092,2.272727272727273,193.9090909090909,0.046882325363338,7.67432280475178,7.55964773600241,5.767,10.5263157894737,,,,,1030.0,19.954545454545453,0.052,609.4702297233943,0.0485348540920948,0.1235511989810835,0.0297158865061564,0.2022994429973372,10.86837793555435,101.15,93.11704111393858,,1.607416905644925,0.904999375343323,0.0,5.37907028,1.35346888620455,0.0,,5.74,2.7,0.0
Argentina,-4.73809040207986,-2257585300.91092,92.8,118.8,45.0,9.32853838248143,43.33188134101394,2.675161718865369,-1622995871.250684,-0.3831186997371333,575683041.8599908,-5003.0,0.1520913676632867,29.5023394337096,12.021005746907289,0.0399956304660931,31.363037733252856,38.4056777997023,3.26,,-4.997436813077808,13.0,0.0,26.78010178,99.4476413232427,50.1483523313364,51.49518020521667,2.574008692107096,41.08763559267975,43.437845478099455,17.3,0.55,-0.6554923395229719,14.4,12.8,20.2,90.849,39.158016056584856,4.38095838778833,95.0,5.90790513617686,-6.03,10.998988137821,8.54,30.60378318999009,5.690592389794865,35.41169290803431,4.52,-10.389,75.1383,-14434953219.803192,-10367957946.04266,75.1125,0.522757302492207,98.2544304020799,0.0005654273924792,2.035471967622902,13.264293933261914,1605098378400.0,25.25877625767221,2654.35,814403.35,41288694.0,10.0,68779495712.0305,60.0,644300740.057192,44.43439273102408,4156732697.479136,25.41674639695916,2.3952597400593585,1.1200099264052346,0.625333228412506,18.116481091732155,5.511111959232608,2.247024204416596,7.089823508627148,8.968196728992822,8.804897490449548,15.878910759051571,13.582686132603529,91.9,46.13891233570481,13.886519846968415,0.3654049234659388,15.087092071078564,0.9204238816563196,7.63241561032529,7.39640157910594,7.625,38.5214007782101,9.221,55.544,65.04760345909378,19.459,591.0,11.040344357599874,292.0,7072.153941221778,28.633480141253028,0.5002959555446086,0.4993417352895661,0.3209552230327107,39.52397781733828,86.69,247.8243463954839,4.50820980219685,20.91512427204698,-0.0847978666424751,2.22690827077107,9.44546413,1.05636332156278,0.11906716574484,23.4651798026944,7.69,3.8962951544705,2.2420493502156
Armenia,0.0699840352741182,-113201225.5058787,111.4,61.0,82.0,5.48326210888507,18.06602348609944,5.716037340645504,-1261431337.931287,-13.62194829857336,606777267.3955364,-30009.0,18.026839162061364,51.769460754365625,-1.0933546479531386,8.541492016176926e-06,0.768452187310293,2.2121958505417907,3.9,8.17636138473952,0.1093822215375134,10.0,0.284005045030102,77.62413025,100.0,100.0,,1.580880882588682,78.88588696595211,62.089562457282895,24.8,1.18,-0.4199835580406842,18.7,18.0,19.0,63.44,66.05484949832777,7.47630501272821,97.0,4.75483687569386,0.0,11.9973853499192,6.88,-71.19042134877675,38.36080727160684,12.87437064945648,2.85424148571429,-0.560533134296643,-0.490549099022525,458281240.3860749,-501862328.9926607,62.14375,2.35660274177231,0.0,0.0,0.0,0.0,3631444282300.0,,5050.0,5667.0,3044800.0,10.0,4537162833.556455,60.0,1669336819.11366,22.153751348020336,-266857715.8643546,13.05454103444659,0.5728224439797692,1.4140394656104565,1.6857665345242867,22.61271577479095,0.8957263366144111,0.0937404357216298,8.522912732746349,2.911586968161941,7.419340985145183,12.738360577828796,3.309042023541278,80.67,60.94134176325957,15.753424657534246,1.935370565507552,106.94766420793816,0.1473003152916447,8.74849477457662,7.04324039029702,9.2,9.16030534351145,21.536,49.482,80.21133386408049,29.567,562.0,11.610818405338954,6.859,2252.693116132423,39.48698197504237,15.297713226434135,8.059571999601294,0.5049386951585682,-15.9057766287429,68.29,91.02805820474778,0.529578831884781,7.768715480676519,0.071855328977108,58.2342657258758,9.23538303,-0.693856288987436,0.298060138765546,15.1193133076547,5.06,373.660466738817,0.0
Australia,4.80396444814694,1140050951.665512,86.2,83.8,82.0,8.64020669780384,21.299058404857007,3.0948394339821035,-46011759615.6313,-4.005068622779562,-1870805221.3433864,166752.0,0.1622920187555701,36.0601682575315,0.4947397495170901,0.0017354869342881,1.2552691340288489,1.4154962387010104,5.17,2.91834002677376,3.2529753305812923,11.0,0.0,19.74928665,32.9709729750069,18.9375155841204,65.64851317389417,2.655808511121403,54.86009423541234,59.81293253147684,9.9,0.15,0.7558515969287799,4.8,6.5,6.9,85.182,77.03853624703274,26.5443142431553,94.0,5.58861532137959,0.423799440276667,16.6576704950227,12.13,31.35115911308357,0.0,26.139330706717217,5.08,-25.2154140432493,41.4746910906005,-44635087286.62779,-17487902843.3707,63.40625,4.85534836205351,66.1566739098273,2.01394646953452,71.32481863049699,2.413510593245495,1253646000000.0,25.173078426952856,75678.85,255809.25,22031750.0,7.0,260241947523.9256,60.0,1864472761.35169,17.646174122638634,429957791.6010701,11.221895423124677,7.772078900790852,1.1920048213009915,2.081881348060871,4.713698464686021,2.842525011677836,1.326340033378384,2.186686612026719,0.6420434864755009,3.111653758944371,35.47163351690285,33.910696656942584,85.88,48.99209872043529,3.3312614711739976,0.0489762180596956,2.867858584017807,1.161584985305298,7.22354406777855,6.78541855925125,6.5,24.6666666666667,5.381,62.066,80.99721156235334,11.32,534.0,16.862931674108015,492.0,22331.40808151872,8.61549665361888,0.3491984347603986,0.3045427357233639,0.3517966674602162,-0.736007303018198,85.64,70.65459623607977,5.06462925450787,1.1537724932859137,0.888859868049622,0.0,8.41878414,1.55570626204128,0.131511794320502,20.9767806908599,11.1,1.09015948638677,0.981467733267183
Austria,0.213617286682821,-6998649047.474721,95.9,90.5,75.0,11.5530787172816,31.33847330246553,-5.645396702078335,11472431144.44431,2.942948517720847,-4084002763.333341,22570.0,0.765334983323421,79.92477925324519,6.206754765198477,0.0015172626071799,1.4493938920624845,0.3427274644517625,3.26,1.81353438995062,9.328759419637835,9.0,0.0484573591225784,18.60162735,98.4515418523421,52.0533754614002,61.6368683831245,0.1343467636250822,89.72679970086261,90.78363944201688,12.4,0.29,0.9092845404298244,4.3,6.8,12.4,57.399,99.8064232292125,15.2048871387536,80.0,5.43325113185383,0.3041011952,17.3593818142211,16.05,10.535290813003684,0.0,35.20441034590607,5.4,-19.0965395191076,-19.9100219130914,3281413893.33334,7679700298.124133,61.19375,0.0450193099135956,1.12050215490675,0.0,9.42385558429873,1.7897311888426497,296525800000.0,26.03964196557378,2167.0,2517.0,8363404.0,8.0,185620622249.9274,60.0,2983488445.59884,20.176301878303903,1445048886.708106,7.094812114347311,0.7168244084082257,0.3264784109037197,1.144415705963637,6.06949170131839,1.8852184556334268,0.6686887582874196,1.6989107401388424,1.5645333788081928,2.6737587691078915,3.5222716016440323,3.1233571535761437,97.13,33.67910809500727,16.526902569074164,0.7913233155598642,101.35002423654872,0.163067573920858,6.45419916827114,6.12923846027759,9.2,27.8688524590164,4.679,56.953,80.60580563735802,10.788,1110.0,46.815317498788175,55.0,6576.269662448449,67.755820492633,3.145351594057538,3.088741661140738,0.2050324734080339,-6.005558511921365,92.34,83.18696837310404,6.25235181211821,0.8913386949096491,1.15264821052551,0.0,10.22101879,0.240394299500766,0.0773723681017506,24.720499373959,12.23,0.754308990105961,0.0812464922746426
