Country Name,Tuberculosis treatment success rate (% of new cases),"Computer, communications and other services (% of commercial service exports)",Merchandise trade (% of GDP),Energy intensity level of primary energy (MJ/$2017 PPP GDP),"Inflation, consumer prices (annual %)","Electricity production from renewable sources, excluding hydroelectric (% of total)","Compulsory education, duration (years)",Adjusted savings: net forest depletion (% of GNI),Out-of-pocket expenditure (% of current health expenditure),"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",Adjusted savings: natural resources depletion (% of GNI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)","Mortality rate attributed to unintentional poisoning (per 100,000 population)","Mortality rate, under-5 (per 1,000 live births)","Mortality caused by road traffic injury (per 100,000 population)",Prevalence of anemia among women of reproductive age (% of women ages 15-49),Fertilizer consumption (kilograms per hectare of arable land),"Immunization, measles (% of children ages 12-23 months)",Adjusted savings: consumption of fixed capital (% of GNI),"Suicide mortality rate (per 100,000 population)",Total greenhouse gas emissions excluding LULUCF (% change from 1990),Electricity production from nuclear sources (% of total),Adjusted savings: education expenditure (% of GNI),Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100),Electricity production from coal sources (% of total),Electricity production from oil sources (% of total),Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100),Electricity production from natural gas sources (% of total),"Services, value added (annual % growth)",GDP per capita growth (annual %),"Industry (including construction), value added (annual % growth)",Livestock production index (2014-2016 = 100),"Death rate, crude (per 1,000 people)",Proportion of seats held by women in national parliaments (%),"Unemployment, female (% of female labor force) (modeled ILO estimate)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",Renewable electricity output (% of total electricity output),Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),"Agriculture, forestry, and fishing, value added (annual % growth)",Crop production index (2014-2016 = 100),"Employers, total (% of total employment) (modeled ILO estimate)","Inflation, GDP deflator (annual %)",Political Stability and Absence of Violence/Terrorism: Estimate,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",Current health expenditure (% of GDP),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Adjusted savings: energy depletion (% of GNI)
Azerbaijan,73.0,45.19810763355721,62.790479689155774,3.89,5.72687224669605,0.0063602351683591,9.0,0.0,60.27914047,100.0,99.9999999999652,20.697507369046267,27.5,0.71,37.7,11.4,36.1,9.954885621782283,89.0,5.7589511600062,2.76,-33.75121606084727,0.0,2.9,61.675,0.0,0.1229289150187065,50.0,81.4537680384821,7.538608426365442,3.5494556573481475,4.693274791266404,86.19,5.9,16.0,6.814,57.437,96.30673581805884,9.64,18.42431854623196,0.5550401586154721,-2.1850696585377136,86.57,12.0853863773511,13.827665595181116,-0.238546922802925,0.498857878857273,2.64634848,1.81,20.6300390038453
"Bahamas, The",69.0,7.782432263525408,34.49963152848324,2.53,1.34402738392836,0.0237400975408355,12.0,0.0156591214514199,27.59894562,100.0,98.9617480991338,0.0156591214514199,21.9,0.22,15.4,12.7,17.0,,94.0,7.49304173785918,3.83,21.837937103068334,0.0,3.8356,35.5125,0.0,99.97625990245916,40.0,0.0,0.5877075953443409,0.2488370375535424,15.03847050594544,95.46,7.322,12.1951219512195,14.744,62.179,84.1364853260595,22.463,0.0237400975408355,0.113873919962245,1.1949215832710962,91.47,0.889137456770114,-0.3925655656247926,0.993692219257355,0.0,5.25594234,4.33,0.0
Bahrain,96.0,27.51146572846642,101.58552641369972,9.59,1.96188468334623,0.0050369375419744,9.0,0.0007509067193193,26.74535942,100.0,100.0,21.38243900981512,19.5,0.25,8.6,10.8,40.4,1336.0825242718447,99.0,6.24267117630789,5.6,66.14797103194398,0.0,2.735,37.89375,0.0,0.0,30.0,100.0,6.297067566004927,0.0771669589062469,2.3439731234987,24.39,2.077,2.5,3.682,70.934,50.14840891834059,16.84,0.0050369375419744,1.0561131383614306,-8.547823323800444,88.39,1.5972002294224,12.006950909995282,-0.493476390838623,100.0,4.08934975,2.35,21.3816881030958
Bangladesh,91.0,75.3560846560101,40.78488808561892,2.32,8.12667639169917,0.3091763784154343,5.0,0.341808535999408,67.95515442,100.0,100.0,1.049267655243711,22.0,0.18,48.9,16.9,34.7,208.02432296890672,88.0,7.39571415253942,3.72,53.83215227606224,0.0,1.77802832192127,58.25625,1.890118499657232,3.616198217608461,60.0,92.48849280188033,5.528829338452795,4.650462973555136,7.032201958202293,60.74,6.049,18.5507246376812,4.345,56.597,43.484558921985126,30.06,2.1992948780726667,0.4230051522544411,6.151947120835473,89.65,0.220317442860169,7.144663028108411,-1.42578947544098,100.0,2.28807664,0.004,0.707459119244303
Barbados,100.0,15.342034363686096,38.48829608094563,4.92,5.82421853311866,0.1505994831037096,11.0,0.0142782737551399,38.09718323,100.0,100.0,0.2761743458132179,17.8,0.14,13.9,8.9,17.9,135.08333333333334,85.0,10.9245676824744,4.37,18.688219560414,0.0,5.78,57.45,0.0,99.8494005168963,40.0,0.0,-0.904983682896372,-2.6155998628726707,-10.033200229108402,95.41,9.203,10.0,10.473,61.533,87.12386568032132,27.917,0.1505994831037096,0.1507935030494532,7.089273374594399,141.65,0.982820969805432,18.85272899213608,1.06063663959503,0.0,6.77094746,8.27,0.261896072058078
Belarus,78.0,27.73934064102029,105.13017255074035,6.99,7.73574804312508,0.2447915174093709,9.0,0.0,29.16505241,100.0,99.8139746599063,0.616456716938427,31.2,5.11,5.6,21.9,17.9,270.46070460704607,99.0,14.5042872291795,34.16,-32.15910853253345,0.0,4.95,52.09375,0.0802407221664995,2.37569852414386,50.0,97.14572288293452,7.219102991075928,7.985732825819625,11.906913856660095,92.13,14.5,31.8181818181818,4.555,59.015,82.84060397840459,10.533,0.3737498208912451,1.241364510268261,2.310162464404101,108.41,0.557668832315228,11.340309882079438,-0.0949900969862938,3.48966894370546,5.65694332,14.99,0.616456716938427
Belgium,78.0,51.92473394704642,165.89309745144655,4.79,2.18929920422457,6.680728687579958,12.0,0.018994257931132,19.72496033,99.4955888679424,71.3937787798193,0.0398098652431534,13.0,0.57,4.5,8.1,10.9,324.94604316546764,95.0,18.988033537401,20.53,-0.6585575483672668,50.69094215540119,6.1,51.14375,6.296190566815746,0.429261691037312,60.0,32.60802909675305,2.572923089218236,1.7761834163912056,3.0617147383691616,92.89,9.7,39.3333333333333,8.516,49.67,78.44792196916205,10.865,8.444296423171673,0.2638711951328635,8.505389788125555,101.19,3.39487730950593,1.7031044452060513,0.810646176338196,0.0,10.20009708,11.33,0.0208156073120214
Belize,0.0,10.425030122261816,67.82379561207539,4.31,0.917977378808888,20.467343824009266,8.0,0.426442697260597,24.62802124,100.0,100.0,4.315053114585967,17.6,0.43,18.8,14.0,18.4,58.013333333333335,98.0,17.4220474559436,6.45,70.03174603174604,0.0,6.47142857142855,62.04375,0.0,10.27314351876217,40.0,0.0,2.760844597579279,-1.295373280947132,-11.675191815856778,79.11,5.173,0.0,12.843,56.715,56.97391744745504,28.038,89.72685648123783,0.1226454441874239,7.156410951477369,101.1,4.03850588948776,2.2485368571528994,0.0704276859760284,0.0,4.49390221,6.13,3.88861041732537
Benin,90.0,25.756986337957017,34.98562447900969,6.0,2.20783532536524,0.0,6.0,0.0,43.51421356,100.0,100.0,0.0019178388773158,22.4,1.23,108.4,28.2,51.8,9.134,68.0,13.6350929720797,7.37,201.4078299196266,0.0,4.79,52.23125,0.0,99.1304347826087,30.0,0.0,2.4291252837945336,-0.8882448051443532,3.367779982989177,83.68,10.405,10.8433734939759,1.148,71.118,92.45136603248508,15.886,0.0,0.5584925164060763,-0.8338778557617985,75.76,1.26119083019613,0.8808856704779089,0.261260122060776,34.4369028675816,3.00988984,6.61,0.0
Bhutan,91.0,0.9685355428226644,87.48416279563187,12.14,7.03638316073019,0.0055730367906167,,4.87932610587727,16.48263359,100.0,100.0,4.934500518747551,18.0,0.1,40.3,13.6,28.0,10.03976143141153,95.0,8.53501179662134,5.15,64.82412060301506,0.0,3.05,67.46875,0.0,0.0042869513773974,40.0,0.0,11.487809930359449,10.712420842869562,12.74428208888179,66.84,6.647,8.51063829787234,4.072,65.887,87.72131556343686,13.693,99.9957130486226,0.5367312300064856,0.9540076537495992,87.23,0.125048272311002,8.326962415046893,0.742221653461456,72.2195876537086,3.29502344,0.68,0.0551744128702799
Bolivia,85.0,35.366199673428284,61.02884788405731,4.01,2.50327605844241,1.6614692653673164,14.0,0.0,33.27740097,100.0,99.9790019848446,5.179731556266431,17.8,0.62,42.0,17.3,25.7,7.006242335623255,88.0,8.91766027877821,5.76,38.16902644709568,0.0,7.21,72.5875,0.0,2.023988005997001,60.0,64.09295352323838,5.160633398847935,2.4284571305270646,3.843101916314581,83.52,8.036,25.3846153846154,3.17,66.638,72.95878349315588,10.031,34.37511244377811,0.5849039356504678,-1.1780796527410755,75.5,5.42691385115656,8.777508115545231,-0.415407210588455,20.0644742343417,5.20230532,4.66,2.65289965051354
Bosnia and Herzegovina,98.0,48.47447175170468,81.65895504176893,6.66,1.99621236745887,0.0020439149731371,9.0,0.0,30.07586288,100.0,99.7782480691262,0.2811064870860968,19.8,1.92,6.8,16.9,21.9,81.52988047808765,91.0,12.8234746970297,10.47,-13.62568161936606,0.0,,56.40625,52.53445456669002,0.2803083391730904,50.0,0.3153468815697267,0.9699719710573332,2.6737224888054385,1.6363023192934776,108.9,9.961,16.6666666666667,29.774,37.303,63.20864166562148,28.728,46.87193412754029,1.4644343827748134,-3.965087120430781,95.42,4.88310424603634,1.406293966206036,-0.693730175495148,43.5193337492411,9.01888275,5.74,0.186657140119524
Botswana,78.0,20.68627894930337,81.90057814321831,3.4,6.94887658743103,0.0451127819548872,,0.351848657800867,4.99356318,100.0,100.0,1.546400046369841,25.2,1.94,55.8,24.2,27.3,83.12741312741312,96.0,20.4195918625773,16.46,7.87172646594434,0.0,9.48,56.85,100.0,3.421052631578948,50.0,0.0,5.710834927626138,7.821147001964562,16.819795613932627,131.71,9.625,7.93650793650794,21.613,49.171,79.96431837603636,35.994,0.0451127819548872,0.2971662103783342,5.816764039295919,90.82,2.59631681407604,7.6854922364130545,0.991209805011749,0.0,6.26718187,7.47,0.29947288807291
Brazil,72.0,61.02199170696342,17.820140971109783,3.85,5.03872690108075,6.616119818581264,8.0,0.0,29.38520432,90.9381232942568,46.4631156249157,1.6781411164888729,17.4,0.096,18.6,24.3,22.7,202.79676529520472,99.0,17.9864817580716,5.25,68.18288554852221,2.816101203576408,5.39,75.35625,2.198509636173608,3.115104719097637,50.0,7.0727323142910885,5.803652853035572,6.627829949323271,10.20307129862303,90.64,5.801,8.57699805068226,11.47,60.574,70.85725318573819,19.04,84.81639788021631,0.258209399563851,6.696942485605973,87.79,3.92760378643332,8.423338337604363,0.0134759107604623,4.02228175532646,7.94516611,8.63,1.12294789741317
Brunei Darussalam,78.0,,83.4967457710696,5.15,0.356869132017561,0.0213607594936708,9.0,0.0683497628630149,8.26134872,1.76724442391376,0.0,18.712135164369517,16.1,0.29,9.7,7.7,15.3,431.75,94.0,9.47411025978271,1.05,70.13099399328064,0.0,2.03,33.80625,0.0,1.0021097046413503,20.0,98.99789029535864,4.499911909660952,0.8087377107755032,2.1797334398947896,89.42,3.825,,7.623,62.261,75.62277106509822,18.018,0.0213607594936708,0.5678764102562118,-16.557829521842876,87.2,2.94853094394666,4.980089565097188,1.27754700183868,0.0,2.27826095,0.28,18.6437854015065
Bulgaria,87.0,27.20341153726528,91.03149248515766,5.5,2.43899060504113,1.567294707735837,9.0,0.0,43.14134216,99.9643895445421,97.4978132700892,0.665859849273768,25.6,0.81,10.8,10.8,21.4,97.05335844318896,97.0,15.5800221155882,12.4,-39.73601807443815,32.68600090026365,3.98,63.01875,48.45561914560693,0.8423895569416757,60.0,4.216234754463807,7.044110601375706,2.226078799625526,-7.155681228322862,108.91,14.9,20.8333333333333,9.607,48.003,80.22245336196484,21.145,13.770154116562708,1.0412980509828416,-10.862958498073697,87.54,4.39990705014308,0.7641298789165916,0.360091060400009,2.3042528954796,7.09477949,10.66,0.258182133224804
Burkina Faso,78.0,51.21168217172488,35.99541914865574,5.31,-0.764230734676758,-0.0305882352941176,10.0,0.0,30.16873169,100.0,100.0,3.19018051324321,25.3,1.41,121.5,30.2,48.3,8.842779488596884,92.0,8.33504080152618,8.69,112.94578474138696,0.0,3.23,70.54375,0.0,85.05882352941177,40.0,0.0,2.664269087607821,5.31934915891263,12.017033234324288,101.07,11.334,15.3153153153153,4.161,66.702,73.50978508974343,36.495,13.851764705882353,0.2166971699113568,14.5667757607862,69.87,3.89817471801873,3.779618728157047,-0.117637142539024,71.6377051612389,5.23958349,8.11,0.0
Burundi,88.0,44.03698374990259,30.01768791750015,7.98,6.49326591473993,3.0783398013549954,,23.7911565875236,28.18636131,100.0,100.0,23.92788002303212,25.0,2.4,90.8,33.2,26.1,3.627368421052632,92.0,13.8505703170363,7.31,43.16091556600514,0.0,6.36,51.0875,0.0,11.53719660593304,40.0,0.0,6.619504800404258,0.3166839877927856,0.7985647211512799,71.04,10.509,32.0754716981132,1.146,77.155,102.2246008614686,7.771,88.46280339406695,0.118182630826868,1.0305273939309672,101.46,0.656260062876693,8.56155516425477,-1.6259593963623,100.0,11.28196716,6.17,0.0
Cabo Verde,,6.310750682611356,43.07435910117805,2.69,2.07866470906424,1.2129459795278386,10.0,0.31159531826493,28.08193207,100.0,100.0,1.34152269412001,14.3,0.3,26.7,23.5,43.7,,97.0,11.5839399516067,14.6,348.10304449648714,0.0,4.91,61.7,0.0,98.78705402047216,40.0,0.0,3.319227903525743,1.1086794111808729,-3.210399786393125,100.26,5.224,18.0555555555556,10.862,52.812,76.73184441055999,33.061,1.2129459795278386,0.4626774160271696,-2.6694382750110464,87.65,4.98118498962025,0.6544154060920988,0.840972781181335,0.0,4.08108234,5.63,1.02992737585508
Cambodia,89.0,8.761857717208343,86.42394349579374,5.05,3.99639528107218,0.7903543307086613,,0.0,51.90946579,100.0,100.0,0.0,24.4,0.47,43.7,18.1,40.0,15.627177161152613,90.0,8.00911382226314,4.56,65.73431895322703,0.0,1.59027265944292,66.31875,3.346456692913386,91.14173228346458,20.0,0.0,5.076709090634111,3.454351171337052,5.682962993352618,98.71,6.26,21.1382113821138,0.794,84.098,91.74389596902552,8.645,4.038385826771654,0.3077377713191119,4.42583388246112,70.8,0.329143835229242,6.264998869323193,-0.50098443031311,10.72805723562,5.62713194,4.71,0.0
Cameroon,78.0,44.60656829584855,32.75833646627645,4.47,1.27538046242338,0.0232203389830508,6.0,2.67913364582439,76.0213623,100.0,100.0,6.366005904771628,27.0,1.21,110.0,28.9,38.3,9.239032258064515,79.0,13.5444723500097,8.12,1.4849411819890523,0.0,2.96,66.96875,0.0,19.71186440677966,40.0,7.067796610169491,4.675114482847505,0.0001364214844272,-1.5329620037036165,77.68,10.86,13.8888888888889,4.903,73.097,85.8561126540954,14.753,72.22661016949152,0.3081663560356006,5.019469927716187,81.99,3.26845126135057,0.6881870827776453,-0.736971437931061,100.0,3.57742167,12.55,3.63347309449208
Canada,78.0,52.76286450508216,48.85610661810894,7.02,1.77687154092627,3.002313294728673,10.0,0.0,15.61018085,13.6672176250704,0.0,0.559054627602334,11.1,0.33,5.7,7.3,7.3,79.65645978719452,90.0,16.4774589067645,12.89,24.524688235075786,15.03359666752897,5.0,49.7,13.19009147049264,1.3826703546720265,60.0,8.603632287292964,2.539756503809727,1.9514474469071388,6.681882998773148,100.3,7.1,22.0779220779221,7.354,61.275,86.21857405652489,13.697,61.28424007853594,0.4011937848282134,1.3019929942822015,78.66,4.84956670605832,2.8486377956180178,0.936318218708038,0.0,10.70405102,10.21,0.273815795655638
Central African Republic,59.0,,20.535878710587827,6.76,1.49102370047802,0.0992555831265508,10.0,0.0,59.52026749,100.0,100.0,0.0253474908534628,32.1,1.43,149.2,30.5,45.1,0.2942584514721919,53.0,9.0478674072517,10.24,44.13253139738222,0.0,1.15,47.26875,0.0,0.1772421127259837,20.0,0.0,9.1038920937022,5.470380965936926,-1.7412025491826029,90.53,15.907,9.61538461538462,6.185,68.972,82.39690560858445,29.217,99.82275788727402,0.0860878897150348,2.962096910599982,99.52,1.20635997132007,4.211309310975111,-2.0206253528595,100.0,3.56699872,2.45,0.0
