Position,Country_2000,q_2000,Country_2010,q_2010,Country_2020,q_2020
93,Ghana,0.2098,Poland,0.2187,Thailand,0.2324
94,Singapore,0.2088,Lao PDR,0.2143,Armenia,0.2316
95,Grenada,0.2066,Thailand,0.2139,Belarus,0.2303
96,Lao PDR,0.2064,Cambodia,0.2128,Ukraine,0.229
97,Greece,0.2063,"Korea, Dem. People's Rep.",0.2127,Jamaica,0.2277
98,Dominican Republic,0.206,Rwanda,0.212,Russian Federation,0.2266
99,San Marino,0.2058,Jamaica,0.2103,Azerbaijan,0.2263
100,Eswatini,0.2041,Burundi,0.2099,Rwanda,0.2263
101,Georgia,0.2018,"Bahamas, The",0.2094,Dominican Republic,0.226
102,Cambodia,0.1963,Indonesia,0.2081,"Micronesia, Fed. Sts.",0.2248
103,Indonesia,0.196,Maldives,0.2076,Tuvalu,0.2226
104,China,0.1952,North Macedonia,0.2068,Lao PDR,0.2221
105,Seychelles,0.1946,Nauru,0.2051,Mauritius,0.221
106,Ethiopia,0.1938,Mali,0.2041,Burundi,0.2181
107,Armenia,0.1932,Sao Tome and Principe,0.2033,Ethiopia,0.218
108,Romania,0.1906,Sierra Leone,0.2028,Tanzania,0.2167
109,Sri Lanka,0.19,Lithuania,0.202,Malaysia,0.2166
110,Serbia,0.1889,Serbia,0.2013,Grenada,0.2151
111,Bosnia and Herzegovina,0.1842,Armenia,0.1987,China,0.2118
112,Zimbabwe,0.182,Kazakhstan,0.1981,Moldova,0.2084
113,United Arab Emirates,0.1817,Suriname,0.195,Sierra Leone,0.2071
114,St. Lucia,0.1791,Malaysia,0.1898,Turkiye,0.2065
115,Jordan,0.177,Dominica,0.1877,"Venezuela, RB",0.2049
116,St. Kitts and Nevis,0.1757,Ukraine,0.1862,Mongolia,0.2045
117,Poland,0.1754,Bosnia and Herzegovina,0.1844,"Korea, Dem. People's Rep.",0.2018
118,Nepal,0.1752,Tajikistan,0.1844,Seychelles,0.2007
119,Tajikistan,0.1722,Georgia,0.1817,Uzbekistan,0.1963
120,Zambia,0.17,China,0.1811,Vanuatu,0.1958
121,North Macedonia,0.1697,Nepal,0.1789,Qatar,0.1916
122,Lebanon,0.1668,Morocco,0.1786,Nepal,0.1899
123,Liechtenstein,0.1659,Cabo Verde,0.1766,Angola,0.1896
124,Tunisia,0.1657,Zimbabwe,0.1766,Cote d'Ivoire,0.1878
125,Botswana,0.1625,United Arab Emirates,0.1757,Morocco,0.1791
126,Cameroon,0.16,Moldova,0.1733,Montenegro,0.1787
127,Turkiye,0.1591,St. Kitts and Nevis,0.17,Dominica,0.1776
128,Kosovo,0.1574,St. Lucia,0.1694,Madagascar,0.1773
129,Cote d'Ivoire,0.1561,Togo,0.1694,Barbados,0.1767
130,Togo,0.1551,Liechtenstein,0.1675,Togo,0.1761
131,Montenegro,0.1547,St. Vincent and the Grenadines,0.1671,Guyana,0.1753
132,Kazakhstan,0.1541,Tunisia,0.1669,Antigua and Barbuda,0.1743
133,Azerbaijan,0.1524,Jordan,0.1666,Lesotho,0.1724
134,Kuwait,0.1519,Botswana,0.1656,Senegal,0.1722
