Position,Country_2000,q_2000,Country_2010,q_2010,Country_2020,q_2020
93,Ghana,0.1742,Poland,0.2187,Thailand,0.2758
94,Singapore,0.1731,Lao PDR,0.2143,Armenia,0.2749
95,Grenada,0.1706,Thailand,0.2139,Belarus,0.2736
96,Lao PDR,0.1703,Cambodia,0.2128,Ukraine,0.2722
97,Greece,0.1702,"Korea, Dem. People's Rep.",0.2127,Jamaica,0.2708
98,Dominican Republic,0.1699,Rwanda,0.212,Russian Federation,0.2697
99,San Marino,0.1696,Jamaica,0.2103,Azerbaijan,0.2694
100,Eswatini,0.1677,Burundi,0.2099,Rwanda,0.2694
101,Georgia,0.1651,"Bahamas, The",0.2094,Dominican Republic,0.2691
102,Cambodia,0.159,Indonesia,0.2081,"Micronesia, Fed. Sts.",0.2678
103,Indonesia,0.1587,Maldives,0.2076,Tuvalu,0.2655
104,China,0.1577,North Macedonia,0.2068,Lao PDR,0.265
105,Seychelles,0.1571,Nauru,0.2051,Mauritius,0.2638
106,Ethiopia,0.1562,Mali,0.2041,Burundi,0.2607
107,Armenia,0.1555,Sao Tome and Principe,0.2033,Ethiopia,0.2606
108,Romania,0.1526,Sierra Leone,0.2028,Tanzania,0.2592
109,Sri Lanka,0.1519,Lithuania,0.202,Malaysia,0.2591
110,Serbia,0.1506,Serbia,0.2013,Grenada,0.2575
111,Bosnia and Herzegovina,0.1454,Armenia,0.1987,China,0.254
112,Zimbabwe,0.1429,Kazakhstan,0.1981,Moldova,0.2504
113,United Arab Emirates,0.1425,Suriname,0.195,Sierra Leone,0.249
114,St. Lucia,0.1396,Malaysia,0.1898,Turkiye,0.2483
115,Jordan,0.1372,Dominica,0.1877,"Venezuela, RB",0.2467
116,St. Kitts and Nevis,0.1358,Ukraine,0.1862,Mongolia,0.2463
117,Poland,0.1355,Bosnia and Herzegovina,0.1844,"Korea, Dem. People's Rep.",0.2434
118,Nepal,0.1353,Tajikistan,0.1844,Seychelles,0.2423
119,Tajikistan,0.1319,Georgia,0.1817,Uzbekistan,0.2376
120,Zambia,0.1294,China,0.1811,Vanuatu,0.237
121,North Macedonia,0.129,Nepal,0.1789,Qatar,0.2326
122,Lebanon,0.1258,Morocco,0.1786,Nepal,0.2308
123,Liechtenstein,0.1248,Cabo Verde,0.1766,Angola,0.2305
124,Tunisia,0.1246,Zimbabwe,0.1766,Cote d'Ivoire,0.2285
125,Botswana,0.121,United Arab Emirates,0.1757,Morocco,0.2194
126,Cameroon,0.1182,Moldova,0.1733,Montenegro,0.2189
127,Turkiye,0.1171,St. Kitts and Nevis,0.17,Dominica,0.2177
128,Kosovo,0.1152,St. Lucia,0.1694,Madagascar,0.2174
129,Cote d'Ivoire,0.1138,Togo,0.1694,Barbados,0.2168
